run	Prop_VSO	Prop_SVO	Prop_SOV	n_agents	n_turns	n_conversations	n_gen	n_runs	prob_random	learn_as_talking	probScale
98	0.0	0.0	1.0	10	1	20	300	100	0	False	1
99	0.0	1.0	0.0	10	1	20	300	100	0	False	1
0	1.0	0.0	0.0	10	1	20	300	100	0	False	0.5
1	1.0	0.0	0.0	10	1	20	300	100	0	False	0.5
2	0.0	1.0	0.0	10	1	20	300	100	0	False	0.5
3	0.0	0.0	1.0	10	1	20	300	100	0	False	0.5
4	1.0	0.0	0.0	10	1	20	300	100	0	False	0.5
5	1.0	0.0	0.0	10	1	20	300	100	0	False	0.5
6	0.0	0.0	1.0	10	1	20	300	100	0	False	0.5
7	1.0	0.0	0.0	10	1	20	300	100	0	False	0.5
8	1.0	0.0	0.0	10	1	20	300	100	0	False	0.5
9	0.0	1.0	0.0	10	1	20	300	100	0	False	0.5
10	0.0	1.0	0.0	10	1	20	300	100	0	False	0.5
11	0.0	1.0	0.0	10	1	20	300	100	0	False	0.5
12	1.0	0.0	0.0	10	1	20	300	100	0	False	0.5
13	0.0	0.0	1.0	10	1	20	300	100	0	False	0.5
14	1.0	0.0	0.0	10	1	20	300	100	0	False	0.5
15	0.0	0.0	1.0	10	1	20	300	100	0	False	0.5
16	1.0	0.0	0.0	10	1	20	300	100	0	False	0.5
17	1.0	0.0	0.0	10	1	20	300	100	0	False	0.5
18	0.0	0.0	1.0	10	1	20	300	100	0	False	0.5
19	0.0	0.0	1.0	10	1	20	300	100	0	False	0.5
20	1.0	0.0	0.0	10	1	20	300	100	0	False	0.5
21	0.0	0.0	1.0	10	1	20	300	100	0	False	0.5
22	0.0	0.0	1.0	10	1	20	300	100	0	False	0.5
23	1.0	0.0	0.0	10	1	20	300	100	0	False	0.5
24	1.0	0.0	0.0	10	1	20	300	100	0	False	0.5
25	0.0	0.0	1.0	10	1	20	300	100	0	False	0.5
26	1.0	0.0	0.0	10	1	20	300	100	0	False	0.5
27	0.0	1.0	0.0	10	1	20	300	100	0	False	0.5
28	0.0	0.0	1.0	10	1	20	300	100	0	False	0.5
29	0.0	1.0	0.0	10	1	20	300	100	0	False	0.5
30	0.0	1.0	0.0	10	1	20	300	100	0	False	0.5
31	0.0	1.0	0.0	10	1	20	300	100	0	False	0.5
32	1.0	0.0	0.0	10	1	20	300	100	0	False	0.5
33	0.0	0.0	1.0	10	1	20	300	100	0	False	0.5
34	0.0	1.0	0.0	10	1	20	300	100	0	False	0.5
35	0.0	0.0	1.0	10	1	20	300	100	0	False	0.5
36	0.0	0.0	1.0	10	1	20	300	100	0	False	0.5
37	0.0	0.0	1.0	10	1	20	300	100	0	False	0.5
38	0.0	1.0	0.0	10	1	20	300	100	0	False	0.5
39	0.0	1.0	0.0	10	1	20	300	100	0	False	0.5
40	0.0	1.0	0.0	10	1	20	300	100	0	False	0.5
41	0.0	1.0	0.0	10	1	20	300	100	0	False	0.5
42	0.0	1.0	0.0	10	1	20	300	100	0	False	0.5
43	0.0	1.0	0.0	10	1	20	300	100	0	False	0.5
44	0.0	0.0	1.0	10	1	20	300	100	0	False	0.5
45	1.0	0.0	0.0	10	1	20	300	100	0	False	0.5
46	0.0	0.0	1.0	10	1	20	300	100	0	False	0.5
